datetime	AR	CO	MX	PE	CL	EC	VE	CR	GT	SV	UY	PY	PA	HN	NI	DO	BO	CU	PR	ES
2019-04-29 04:20:01	12488	96336	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 04:20:02	NULL	NULL	102189	29972	18572	3109	21490	1818	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 04:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3780	3462	3109	222	1153	3109	317	684	277	20	100	2600
2019-04-29 05:20:01	12488	96335	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 05:20:02	NULL	NULL	102215	29973	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 05:20:04	NULL	NULL	NULL	NULL	18572	3109	21490	1818	3780	3459	3109	222	1153	3109	317	684	NULL	NULL	NULL	NULL
2019-04-29 05:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	277	20	100	2600
2019-04-29 06:20:00	NULL	96339	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:02	12488	NULL	102219	29978	18572	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 06:20:03	NULL	NULL	NULL	NULL	NULL	3109	21490	1818	3780	3459	3109	222	1153	3109	317	684	277	20	100	2600
2019-04-29 07:20:01	12486	96339	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 07:20:02	NULL	NULL	102224	29976	18572	3109	21490	1818	3780	3459	3109	222	1153	3109	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 07:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	317	684	277	20	100	2599
2019-04-29 08:20:01	12485	96231	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 08:20:03	NULL	NULL	102223	29976	18572	3109	21490	1809	3775	3448	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 08:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3109	222	1153	3109	317	684	277	20	100	2598
2019-04-29 09:20:01	12484	96097	NULL	29971	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 09:20:02	NULL	NULL	102156	NULL	18558	3098	21490	1807	3773	3445	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 09:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3098	222	1153	3098	316	NULL	NULL	NULL	NULL	NULL
2019-04-29 09:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	684	277	20	100	2598
2019-04-29 10:20:01	NULL	95967	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
